antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
['SALT'],['BATHING SOAP'],0.22033898305084745,0.30871670702179177,0.12590799031476999,0.5714285714285715,1.850980392156863,0.05788566503878197,1.6129943502824862
['DETERGENT POWDER'],['WASHING BAR'],0.31234866828087166,0.3268765133171913,0.18886198547215496,0.6046511627906977,1.8497846683893195,0.08676254184523564,1.7026064663153397
['WASHING BAR'],['DETERGENT POWDER'],0.3268765133171913,0.31234866828087166,0.18886198547215496,0.5777777777777777,1.8497846683893195,0.08676254184523564,1.628647890913725
['SUGAR'],['WASHING BAR'],0.06416464891041163,0.3268765133171913,0.0387409200968523,0.6037735849056604,1.8470999301187978,0.017767003382795233,1.6988354663899454
['DISHWASH BAR'],['WASHING BAR'],0.25181598062953997,0.3268765133171913,0.1513317191283293,0.6009615384615384,1.8384971509971508,0.06901898938259589,1.6868636774701709
['TOOTH PASTE'],['DETERGENT POWDER'],0.2288135593220339,0.31234866828087166,0.13075060532687652,0.5714285714285714,1.8294573643410852,0.059280994788033003,1.6045197740112995
['DISHWASH BAR'],['BATHING SOAP'],0.25181598062953997,0.30871670702179177,0.14164648910411623,0.5625,1.8220588235294117,0.06390668878870134,1.5800760982359046
['HAIR OIL'],['WASHING BAR'],0.07384987893462469,0.3268765133171913,0.043583535108958835,0.5901639344262295,1.8054644808743168,0.019443744173912023,1.642421307506053
['PAPAD'],['WASHING BAR'],0.09685230024213075,0.3268765133171913,0.05690072639225181,0.5875,1.7973148148148148,0.02524198418235435,1.6318145131704453
['TOOTH BRUSH'],['BATHING SOAP'],0.07869249394673124,0.30871670702179177,0.043583535108958835,0.5538461538461538,1.7940271493212667,0.019289847510391686,1.5494280704683976
['KETCHUP'],['WASHING BAR'],0.035108958837772396,0.3268765133171913,0.020581113801452784,0.5862068965517242,1.7933588761174968,0.009104819750364954,1.6267150928167877
['HAIR OIL'],['DETERGENT POWDER'],0.07384987893462469,0.31234866828087166,0.04116222760290557,0.5573770491803279,1.784470707840895,0.01809531626497195,1.5535826383284015
['SALT'],['WASHING BAR'],0.22033898305084745,0.3268765133171913,0.12832929782082325,0.5824175824175825,1.7817663817663818,0.056305659293306526,1.6119536128456735
['SALT'],['DETERGENT POWDER'],0.22033898305084745,0.31234866828087166,0.12227602905569007,0.554945054945055,1.7766845557543234,0.05345344112939632,1.5450931157145849
['DISHWASH LIQUID'],['WASHING BAR'],0.03753026634382567,0.3268765133171913,0.021791767554479417,0.5806451612903225,1.776344086021505,0.009524004948144149,1.6051406220897741
['TOOTH PASTE'],['WASHING BAR'],0.2288135593220339,0.3268765133171913,0.13196125907990314,0.5767195767195766,1.7643347050754454,0.05716748060902038,1.590254237288135
['NOODLES'],['WASHING BAR'],0.06174334140435835,0.3268765133171913,0.035108958837772396,0.5686274509803921,1.739578794480755,0.014926510678962761,1.5604226282192382
['TOOTH BRUSH'],['DETERGENT POWDER'],0.07869249394673124,0.31234866828087166,0.04116222760290557,0.5230769230769231,1.6746571258199168,0.016582731914943513,1.44184956650785
['HAIR OIL'],['BISCUIT'],0.07384987893462469,0.4116222760290557,0.04963680387409201,0.6721311475409837,1.6328833172613308,0.019238548622551577,1.7945520581113803
['NOODLES'],['BISCUIT'],0.06174334140435835,0.4116222760290557,0.03753026634382567,0.607843137254902,1.4767012687427914,0.01211533162532465,1.500363196125908
['SUGAR'],['BISCUIT'],0.06416464891041163,0.4116222760290557,0.03753026634382567,0.5849056603773585,1.4209766925638179,0.011118667518716766,1.4174554259300018
['SALT'],['BISCUIT'],0.22033898305084745,0.4116222760290557,0.12469733656174334,0.5659340659340659,1.3748868778280543,0.03400090286042598,1.3555031109204032
['PAPAD'],['BISCUIT'],0.09685230024213075,0.4116222760290557,0.05447941888619855,0.5625,1.3665441176470587,0.014612854621883227,1.344863369076444
['TOOTH BRUSH'],['BISCUIT'],0.07869249394673124,0.4116222760290557,0.043583535108958835,0.5538461538461538,1.34552036199095,0.011191951644202634,1.3187776571762542
['DISHWASH LIQUID'],['BISCUIT'],0.03753026634382567,0.4116222760290557,0.020581113801452784,0.5483870967741935,1.3322580645161288,0.005132820149030595,1.302836388792805
['TOOTH PASTE'],['BISCUIT'],0.2288135593220339,0.4116222760290557,0.12469733656174334,0.544973544973545,1.3239651416122005,0.03051257848729838,1.293062672447773
['TEA POWDER'],['BISCUIT'],0.21428571428571427,0.4116222760290557,0.11501210653753027,0.536723163841808,1.303921568627451,0.02680733310273263,1.2700348432055748
['COFFEE'],['BISCUIT'],0.12227602905569007,0.4116222760290557,0.06537530266343826,0.5346534653465347,1.29889341875364,0.015043765279740162,1.264386172788625
['DISHWASH BAR'],['BISCUIT'],0.25181598062953997,0.4116222760290557,0.13196125907990314,0.5240384615384615,1.2731052036199093,0.028308191992683293,1.2361875412722867
['WASHING BAR'],['BISCUIT'],0.3268765133171913,0.4116222760290557,0.16343825665859565,0.5,1.214705882352941,0.02888860226653142,1.1767554479418885
